單字,中文,例句,中例,同義,反義
radiant,adj.照耀的；輻射的；容光煥發的； n.光點；[天]流星群的輻射點； ,A thermal radiant sensor is designed to measure the radiant heat flux of the cylinder head.,"設計並製作了測量缸內輻射熱流量的熱輻射感測器,測量了不同碳酸二甲酯添加比例下缸內輻射熱流量.",beaming;refulgent;effulgent;,dull;depressing;humble;
radiation,n.輻射；放射物；輻射狀；分散； ,The radiation response and long term recovery in MOS a pulse radiation are studied.,模擬MOS器件脈衝電離輻射響應和長時間恢復效應。,ionizing radiation;nonparticulate radiation;free energy;,discontinuation;discontinuance;assembly;
radiator,n.暖氣片，散熱器；（汽車引擎的）冷卻器；輻射體；冰箱； ,"The radiator usually mainly consists of the radiator core, radiator bottom tank, and radiator top tank.",暖器爐通常主要地由暖器爐核心，暖器爐底部箱，和暖器爐頂端箱所組成。,radio source;natural object;,artifact;plaything;cushioning;
radical,adj.根本的，基本的；激進的；徹底的；[植]根生的； n.激進分子；根基，原子團；[數學]根數； ,Modified radical mastectomy replaces radical mastectomy for breast cancer.,乳腺癌改良根治術代替經典根治術。,ultra;extremist;immoderate;,moderate;artifact;leader;
raft,n.木筏；橡皮艇；[動]（昆蟲的）卵筏；〈美口〉大量； vt.筏運；製成筏；使用筏子； vi.乘筏； ,"Meanwhile , various research groups have attempted to investigate the mechanism and kinetics of the RAFT process.","隨著RAFT聚合方法在合成領域應用的逐漸拓寬,人們對於RAFT聚合的機理研究也沒有中斷過.",life raft;Carling float;balsa raft;,empty;ebbtide;orderliness;
raid,n.（騎兵隊等的）急襲，突然襲擊，突擊，（軍艦等的）游擊；劫掠，劫奪，（盜賊，狐等的）侵入；突然查抄[搜vi.對…進行突然襲擊；進行奇襲； vt.突然襲擊[搶劫]；突然搜查；劫掠；打劫； ,Detected missing RAID hardware for the embedded RAID subsystem.,檢測到嵌入式RAID子系統的RAID硬體缺失。,penetration;swoop;air attack;,slip off;undress;stay;
ransom,n.付贖金救人，贖金；[神]贖罪； vt.贖回；[神]贖救； ,Ransom Captive: Release a skilled or wealthy captive for their current ransom amount.,"俘虜的贖金: 釋放一個有技術的或者富有的俘虜,當然是在收到等於他們目前身價的贖金之後.",payment;defrayal;defrayment;,nonpayment;decontaminate;unscramble;
rash,adj.魯莽的，輕率的；性急的；不顧後果的； n.（皮）疹；爆發；同時大量出現的事件； ,"The coward calls the brave man rash, the rash man calls him a coward.","懦夫視勇敢者為魯莽, 莽夫視勇敢者為懦弱.",imprudent;,prudent;timidity;
ravage,vt.& vi.毀壞；劫掠； n.破壞；蹂躪； ,NIV Boars from the forest ravage it and the creatures of the field feed on it.,"13[和合]林中出來的野豬,把它糟踏;野地的走獸,拿它當食物.",wipeout;destruction;depredation;,underspend;inactivity;recuperate;
realism,n.（文藝的）現實主義；現實主義的態度和行為；<哲>唯實論；實在論； ,"Therefore, new realism is a regression of a betrayal to revolutionary realism.",「新寫實」小說曾是八九十年代中國文壇上一道絢爛的風景。,practicality;pragmatism;,impracticality;natural;genuine;
realization,n.認識，領會；實現； ,The article proposes an algorithm for hand - written Chinese character recognition and its realization.,該文提出了一種基於多特徵提取的手寫漢字識別演算法及其實現.,creating by mental acts;actualization;realisation;,incomprehension;fearlessness;unperceptive;
rebellion,n.造反，叛亂；反抗； ,Boston Tea Party. The Whiskey Rebellion. The Sagebrush Rebellion.,波士頓傾茶事件，威士忌酒反抗事件，還有山艾樹起義事件。,resistance;,old;defend;
recession,n.經濟衰退，不景氣；後退，撤退；凹處；退場； ,Politicians began to use the dreaded R-word: recession.,政客們開始使用令人恐懼的R字頭詞：recession（經濟衰退）。,economic condition;,begin;appearance;forward;
recipient,n.接受者；容器；容納者； adj.容易接受的；感受性強的； ,The recipient's e-mail address was not found in the recipient's e-mail system.,由這句看出你把對方的郵箱地址打錯了。,mandatary;mandatory;receiver;,lender;free;unaddicted;
recommendation,n.推薦；推薦信；建議；可取之處； ,You need to ask two evaluators to fill in the Recommendation and Recommendation Evaluation Forms.,推薦信和推薦人評估表要由兩個推薦人來填寫和準備.,advice;referral;,uppercase;subscript;irresponsibleness;
recruit,n.新兵；（機構中的）新成員；新學生； vt.招聘，徵募；吸收某人為新成員；動員…（提供幫助）；僱用； vi.徵募新兵；得到補充，得到補償；恢復健康； ,Recruit Captain: Recruit a new ship captain to command a ship in your fleet.,徵募新船長：為你艦隊里的一隻船任命個新船長。,inscribe;enter;unionize;,discharge;unfledged;experienced;
refinement,n.精煉，提純，凈化；改良品；細微的改良，極致；優雅，高貴的動作； ,"There are artificial leather refinement packing, canvas refinement packing, ABS innocuity plastic packing, canvas common packing, artificial leather common packing.",產品的包裝主要分為:人造皮革精包裝 、 人造皮革普通包裝 、 帆布精包裝 、 帆布普通包裝及ABS無毒塑料包裝等.,advance;improvement;betterment;,significant;unimportance;meaninglessness;
refreshment,n.提神，精神恢復；提神物；點心，茶點； ,Practising this kind of Qigong can also result in clear vision and refreshment.,做這種氣功，也能達到清火明目，怡神醒腦的目的。,bite;snack;collation;,addition;failure;inactivity;
refund,n.資金償還；償還數額； vt.退還；歸還或償還； vi.進行償還； ,No refund or partial refund any term during which the student was in attendance.,學生已經就學的學期不能辦理退費或部分退費。,payment;discount;rebate;,nonpayment;charge;pay cash;
regime,n.政治制度，政權，政體；管理，方法；[醫]養生法；（病人等的）生活規則； ,"Chu regime is a puppet regime, but it is in the nature of transitional regime.",楚政權是一個傀儡政權，但是也具有過渡政權性質。,legislative assembly;governance;pupet regime;,inactiveness;union;nonexistence;
rehearsal,n.排練，排演；彩排，演習；複述，詳述； ,"Before the performance, they held the last rehearsal on the rehearsal ground.","演出之前, 他們在排練場上進行了最後一次彩排.",dress rehearsal;run-through;exercise;,inactivity;stand still;
rein,n.駕馭（法）；統治手段；控制（權）；韁繩； vt.勒韁繩使（馬）停步；駕馭；嚴格控制； vi.勒住馬； ,"Clothing sales in Shanghai, too, are flat, Mr Rein says.",小山表示，上海服裝銷售也表現平平。,bearing rein;bridle;leading rein;,misconception;yin;yang;
relay,n.接替人員，替班；傳遞；接力賽；繼電器； vt.轉播，傳達；用驛馬遞送，使接替；分程傳遞； ,The status of solid state relay in global relay market is briefly analyzed and forecasted.,簡要分析和預測全球繼電器市場中固體繼電器的現狀。,pass;pass along;put across;,prevent;failing;stay;
reliance,n.依靠，依賴；信任，信賴，信心；所信賴的人或物； ,"Another, seen most rec - ently at Reliance in India, is the risk of feuding heirs.","另一個不利方面是, 有可能出現繼承人之爭,就像印度的信實(Reliance)集團最近所表現出來的那樣.",certainty;trust;,uncertainty;sure;certain;
relish,vt.品嘗，品味；給…加佐料，調味；欣賞； vi.有滋味；有…的味道； n.味道，滋味；調味品；引起興趣的東西； ,I don't relish having to get up so early.,我可不樂意這麼早就起床。,enjoyment;enthusiasm;gusto;,abstain;disapprove;different;
remainder,n.剩餘物；其他人員；差數；廉價出售的圖書； vt.廉價出售（書）；廉價出售； adj.剩餘的；留存下的； ,ADD: Pulg up the remainder of the hot water inlets and outlets.,附：將其它沒有用上的熱水進出口用堵頭堵住或用波紋管短接。,balance;residuum;component part;,end;beginning;connect;
removal,n.免職；除去；移走；搬遷； ,The removal of phosphorus from wastewater consists of biological removal method and compelled chemical removal method.,污水的除磷有生物法和藥劑強制去除法兩大類。,dislodgement;rinse;disembowelment;,contamination;integration;synthesis;
renaissance,n.文藝復興；文藝復興時期；文藝復興時期（歐洲 14、15 和 16 世紀時，人們以古希臘羅馬的思想文化,Yu Yuan Renaissance exemplifies a delightful fusion of Renaissance heritage and Shanghai local culture.,豫園萬麗充分融合了萬麗悠久的傳統以及海派文化精華。,High Renaissance;Renascence;quattrocento;,death;future;
rental,n.租費，租金額； ,DVD rental system the main attachment of the DVD rental management and maintenance functions.,"影碟出租系統,主要實習了影碟出租的管理和維護功能.",dealing;dealings;transaction;,isotropy;solubility;strength;
resemblance,n.相似，形似；外表，外觀；相似物，相似點；肖像； ,Separation between linguistic signs and plastic elements; equivalence of resemblance and affirmation.,"語言學符號與可塑性元素之間的區分; 相似性與確定性之間的曖昧關係,這兩組微妙關聯構成了古典繪畫的某種不安.",affinity;alikeness;mutual resemblance;,unlikeness;dissimilitude;consanguinity;
reservoir,n.蓄水池；貯液器；儲藏；蓄積； ,"Reservoir geological modeling is significant to scientific reservoir evaluation, reservoir management and 3 D - reservoir numerical simulation.",儲層地質建模對於科學的油藏評價 、 油藏開發管理以及三維油藏數值模擬具有很大的意義.,supply;,kern;take;
restoration,n.（規章制度等的）恢復；複原；（遺失等物的）歸還原主；整修； ,Vegetation restoration is an effective approach for ecosystem restoration and enhancement in eroded area of soil.,植被恢復是紅壤侵蝕區生態恢復與重建的有效途徑.,acquisition;restitution;regaining;,worsen;break;untie;
